TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,CAR_TT,CAR_CO,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,SM_SEATS
57.0,268.0,120.0,33.0,290.0,20.0,117.0,35.0,1.0,9.0,18.0,21.0,25.0,28.0,33.0,38.0,40.0,57.0,79.0,81.0
200.0,105.0,120.0,81.0,118.0,30.0,152.0,182.0,3.0,10.0,11.0,21.0,25.0,30.0,34.0,37.0,40.0,59.0,60.0,81.0
63.0,29.0,60.0,37.0,32.0,20.0,0.0,0.0,2.0,9.0,11.0,21.0,25.0,32.0,34.0,37.0,40.0,59.0,77.0,81.0
261.0,213.0,120.0,155.0,245.0,30.0,312.0,124.0,3.0,10.0,13.0,21.0,25.0,29.0,34.0,38.0,40.0,59.0,72.0,81.0
82.0,22.0,120.0,34.0,26.0,30.0,117.0,44.0,2.0,9.0,11.0,22.0,24.0,29.0,34.0,38.0,40.0,57.0,61.0,81.0
182.0,62.0,30.0,71.0,86.0,20.0,168.0,116.0,3.0,9.0,11.0,21.0,25.0,30.0,34.0,37.0,40.0,59.0,60.0,81.0
114.0,65.0,120.0,42.0,84.0,10.0,117.0,71.0,2.0,10.0,11.0,22.0,25.0,29.0,34.0,38.0,40.0,43.0,60.0,81.0
188.0,176.0,120.0,84.0,210.0,20.0,160.0,149.0,2.0,10.0,13.0,22.0,24.0,28.0,34.0,38.0,40.0,52.0,61.0,81.0
106.0,2600.0,120.0,59.0,3380.0,20.0,0.0,0.0,2.0,9.0,16.0,21.0,25.0,27.0,33.0,36.0,41.0,47.0,61.0,81.0
114.0,80.0,30.0,49.0,106.0,20.0,88.0,56.0,3.0,9.0,13.0,21.0,25.0,31.0,34.0,37.0,40.0,59.0,61.0,81.0
341.0,56.0,30.0,188.0,74.0,20.0,260.0,125.0,0.0,9.0,11.0,22.0,24.0,28.0,33.0,36.0,40.0,57.0,72.0,81.0
104.0,46.0,30.0,58.0,49.0,10.0,117.0,71.0,3.0,9.0,11.0,21.0,24.0,29.0,34.0,37.0,40.0,43.0,60.0,81.0
375.0,120.0,60.0,126.0,137.0,20.0,290.0,266.0,2.0,10.0,11.0,22.0,25.0,30.0,34.0,38.0,40.0,52.0,79.0,81.0
64.0,16.0,120.0,42.0,20.0,30.0,0.0,0.0,2.0,9.0,11.0,21.0,26.0,30.0,34.0,36.0,40.0,59.0,77.0,81.0
170.0,119.0,60.0,74.0,139.0,10.0,140.0,64.0,1.0,9.0,13.0,21.0,24.0,31.0,34.0,36.0,40.0,52.0,61.0,81.0
227.0,115.0,30.0,126.0,149.0,30.0,220.0,130.0,2.0,9.0,13.0,22.0,25.0,29.0,34.0,37.0,40.0,55.0,77.0,81.0
215.0,89.0,60.0,124.0,122.0,30.0,0.0,0.0,2.0,10.0,11.0,21.0,25.0,30.0,33.0,37.0,40.0,47.0,77.0,82.0
152.0,43.0,60.0,97.0,56.0,30.0,90.0,50.0,3.0,9.0,11.0,21.0,25.0,28.0,34.0,36.0,40.0,43.0,60.0,81.0
128.0,82.0,60.0,99.0,95.0,30.0,130.0,48.0,3.0,9.0,13.0,21.0,24.0,29.0,33.0,36.0,40.0,59.0,65.0,81.0
105.0,42.0,30.0,70.0,58.0,10.0,50.0,20.0,2.0,9.0,13.0,22.0,25.0,28.0,34.0,38.0,40.0,51.0,60.0,81.0
269.0,252.0,60.0,107.0,349.0,30.0,273.0,120.0,2.0,10.0,13.0,22.0,25.0,29.0,34.0,38.0,40.0,42.0,79.0,81.0
99.0,1850.0,30.0,34.0,2220.0,10.0,0.0,0.0,1.0,9.0,17.0,21.0,26.0,27.0,34.0,39.0,41.0,43.0,77.0,81.0
169.0,147.0,120.0,123.0,212.0,20.0,72.0,40.0,2.0,10.0,18.0,21.0,24.0,30.0,33.0,37.0,40.0,59.0,77.0,82.0
113.0,60.0,30.0,48.0,71.0,10.0,80.0,40.0,0.0,10.0,11.0,21.0,25.0,29.0,34.0,38.0,40.0,43.0,60.0,81.0
197.0,158.0,120.0,116.0,210.0,10.0,180.0,88.0,0.0,10.0,13.0,21.0,25.0,29.0,33.0,38.0,40.0,59.0,62.0,81.0
221.0,89.0,120.0,82.0,111.0,20.0,112.0,64.0,1.0,9.0,13.0,21.0,24.0,31.0,34.0,36.0,40.0,52.0,61.0,81.0
127.0,138.0,120.0,69.0,181.0,10.0,130.0,56.0,0.0,10.0,13.0,21.0,24.0,29.0,34.0,37.0,40.0,43.0,60.0,81.0
170.0,68.0,60.0,76.0,78.0,10.0,190.0,76.0,2.0,9.0,11.0,21.0,25.0,29.0,34.0,37.0,40.0,57.0,60.0,82.0
195.0,184.0,60.0,91.0,254.0,30.0,160.0,90.0,2.0,10.0,13.0,23.0,25.0,29.0,33.0,37.0,40.0,57.0,60.0,81.0
203.0,89.0,30.0,75.0,122.0,30.0,104.0,117.0,2.0,10.0,11.0,23.0,24.0,31.0,34.0,38.0,40.0,43.0,72.0,81.0
119.0,60.0,30.0,50.0,71.0,10.0,90.0,40.0,2.0,10.0,11.0,22.0,24.0,28.0,34.0,37.0,40.0,43.0,60.0,81.0
159.0,98.0,60.0,69.0,111.0,20.0,234.0,110.0,2.0,9.0,13.0,21.0,24.0,29.0,34.0,37.0,40.0,52.0,61.0,81.0
111.0,74.0,120.0,44.0,116.0,10.0,0.0,0.0,2.0,10.0,13.0,21.0,24.0,28.0,33.0,37.0,40.0,52.0,60.0,82.0
185.0,176.0,60.0,72.0,245.0,30.0,150.0,110.0,2.0,10.0,13.0,22.0,25.0,29.0,34.0,38.0,40.0,43.0,72.0,81.0
388.0,110.0,30.0,153.0,155.0,20.0,377.0,150.0,3.0,10.0,11.0,21.0,25.0,29.0,34.0,38.0,40.0,55.0,78.0,81.0
51.0,40.0,30.0,28.0,45.0,10.0,52.0,39.0,3.0,9.0,13.0,21.0,24.0,28.0,34.0,37.0,40.0,59.0,77.0,81.0
111.0,162.0,30.0,62.0,216.0,20.0,0.0,0.0,0.0,9.0,18.0,21.0,25.0,27.0,33.0,36.0,40.0,52.0,60.0,82.0
61.0,19.0,60.0,40.0,25.0,10.0,0.0,0.0,2.0,9.0,11.0,21.0,25.0,28.0,34.0,36.0,40.0,59.0,77.0,82.0
244.0,97.0,120.0,153.0,112.0,20.0,200.0,195.0,2.0,10.0,11.0,23.0,24.0,28.0,34.0,38.0,40.0,42.0,77.0,81.0
182.0,189.0,30.0,81.0,225.0,30.0,210.0,135.0,2.0,10.0,13.0,22.0,24.0,30.0,34.0,38.0,40.0,59.0,60.0,81.0
180.0,83.0,30.0,86.0,133.0,20.0,128.0,72.0,0.0,10.0,15.0,22.0,25.0,28.0,33.0,39.0,40.0,43.0,72.0,81.0
147.0,71.0,120.0,69.0,90.0,10.0,117.0,71.0,2.0,10.0,11.0,22.0,25.0,29.0,34.0,38.0,40.0,43.0,60.0,81.0
124.0,2600.0,60.0,71.0,4160.0,30.0,0.0,0.0,0.0,9.0,16.0,21.0,25.0,28.0,33.0,36.0,41.0,42.0,72.0,81.0
125.0,68.0,120.0,55.0,76.0,30.0,88.0,104.0,2.0,10.0,11.0,21.0,24.0,30.0,34.0,38.0,40.0,59.0,61.0,81.0
78.0,54.0,120.0,31.0,65.0,30.0,143.0,40.0,0.0,10.0,11.0,22.0,25.0,28.0,33.0,39.0,40.0,43.0,60.0,81.0
192.0,52.0,120.0,55.0,72.0,10.0,0.0,0.0,2.0,9.0,11.0,21.0,25.0,29.0,33.0,37.0,40.0,57.0,60.0,82.0
204.0,11.0,30.0,111.0,15.0,30.0,210.0,115.0,1.0,9.0,16.0,21.0,25.0,28.0,33.0,37.0,40.0,42.0,79.0,81.0
106.0,3120.0,60.0,43.0,4160.0,30.0,78.0,24.0,0.0,9.0,16.0,23.0,25.0,28.0,34.0,37.0,41.0,52.0,60.0,81.0
103.0,97.0,60.0,94.0,111.0,10.0,143.0,84.0,1.0,10.0,13.0,23.0,24.0,30.0,34.0,37.0,40.0,59.0,65.0,81.0
146.0,43.0,30.0,120.0,53.0,30.0,52.0,24.0,0.0,9.0,13.0,21.0,24.0,29.0,34.0,38.0,40.0,59.0,77.0,81.0
249.0,90.0,120.0,104.0,122.0,10.0,195.0,136.0,2.0,10.0,11.0,22.0,24.0,29.0,34.0,38.0,40.0,52.0,61.0,81.0
92.0,60.0,30.0,34.0,74.0,30.0,117.0,48.0,2.0,10.0,11.0,22.0,24.0,29.0,34.0,38.0,40.0,42.0,61.0,81.0
211.0,211.0,30.0,141.0,254.0,20.0,170.0,162.0,2.0,10.0,13.0,22.0,24.0,30.0,34.0,37.0,40.0,59.0,62.0,81.0
255.0,98.0,60.0,85.0,112.0,20.0,230.0,195.0,2.0,10.0,11.0,21.0,25.0,29.0,34.0,37.0,40.0,42.0,79.0,81.0
216.0,116.0,30.0,74.0,133.0,30.0,160.0,162.0,2.0,10.0,11.0,23.0,24.0,30.0,34.0,37.0,40.0,57.0,60.0,81.0
84.0,31.0,30.0,29.0,38.0,10.0,72.0,15.0,1.0,9.0,11.0,21.0,25.0,29.0,33.0,37.0,40.0,42.0,61.0,82.0
232.0,221.0,60.0,95.0,293.0,30.0,195.0,64.0,2.0,10.0,13.0,22.0,24.0,28.0,34.0,37.0,40.0,42.0,77.0,81.0
170.0,39.0,120.0,131.0,43.0,30.0,234.0,76.0,3.0,9.0,11.0,21.0,25.0,28.0,33.0,37.0,40.0,57.0,62.0,81.0
125.0,40.0,60.0,70.0,52.0,30.0,75.0,60.0,1.0,9.0,11.0,23.0,25.0,28.0,33.0,39.0,40.0,42.0,61.0,81.0
260.0,167.0,60.0,125.0,177.0,20.0,200.0,144.0,2.0,9.0,13.0,20.0,25.0,29.0,34.0,38.0,40.0,52.0,79.0,81.0
326.0,122.0,120.0,117.0,178.0,10.0,338.0,156.0,2.0,10.0,11.0,22.0,24.0,29.0,34.0,38.0,40.0,52.0,79.0,81.0
212.0,26.0,120.0,121.0,27.0,30.0,1200.0,10.0,0.0,9.0,12.0,21.0,25.0,27.0,33.0,36.0,40.0,42.0,72.0,82.0
163.0,1850.0,60.0,85.0,2405.0,10.0,0.0,0.0,6.0,9.0,17.0,21.0,25.0,28.0,33.0,36.0,41.0,43.0,60.0,81.0
299.0,128.0,120.0,118.0,189.0,10.0,286.0,182.0,3.0,9.0,13.0,21.0,25.0,27.0,34.0,36.0,40.0,52.0,77.0,81.0
95.0,17.0,60.0,44.0,25.0,10.0,143.0,97.0,0.0,10.0,16.0,21.0,24.0,29.0,34.0,38.0,40.0,43.0,60.0,81.0
112.0,3780.0,30.0,63.0,5040.0,10.0,64.0,70.0,2.0,10.0,16.0,21.0,25.0,30.0,34.0,38.0,41.0,43.0,60.0,82.0
84.0,1665.0,60.0,33.0,2405.0,10.0,0.0,0.0,1.0,9.0,17.0,21.0,25.0,27.0,34.0,36.0,41.0,43.0,77.0,81.0
189.0,81.0,60.0,107.0,90.0,10.0,120.0,95.0,2.0,10.0,11.0,22.0,24.0,28.0,34.0,38.0,40.0,43.0,72.0,81.0
248.0,85.0,120.0,195.0,88.0,20.0,143.0,65.0,2.0,10.0,11.0,21.0,24.0,29.0,34.0,38.0,40.0,52.0,62.0,81.0
401.0,64.0,30.0,244.0,70.0,10.0,190.0,100.0,3.0,9.0,11.0,21.0,25.0,30.0,34.0,38.0,40.0,42.0,78.0,81.0
123.0,54.0,120.0,58.0,71.0,20.0,0.0,0.0,2.0,10.0,11.0,21.0,25.0,29.0,34.0,37.0,40.0,42.0,61.0,82.0
210.0,14.0,30.0,69.0,15.0,30.0,136.0,136.0,2.0,9.0,16.0,21.0,25.0,30.0,34.0,38.0,40.0,42.0,77.0,81.0
188.0,170.0,30.0,80.0,194.0,10.0,160.0,135.0,2.0,10.0,13.0,21.0,25.0,28.0,34.0,39.0,40.0,42.0,77.0,81.0
130.0,75.0,120.0,67.0,90.0,20.0,80.0,48.0,0.0,9.0,13.0,21.0,25.0,28.0,34.0,37.0,40.0,43.0,60.0,81.0
248.0,74.0,120.0,71.0,80.0,30.0,200.0,135.0,3.0,9.0,11.0,21.0,25.0,29.0,33.0,39.0,40.0,42.0,79.0,81.0
186.0,170.0,30.0,137.0,184.0,20.0,140.0,104.0,2.0,10.0,13.0,23.0,24.0,29.0,34.0,38.0,40.0,43.0,72.0,81.0
317.0,112.0,120.0,143.0,155.0,10.0,273.0,208.0,1.0,10.0,11.0,23.0,25.0,29.0,34.0,37.0,40.0,52.0,79.0,81.0
305.0,132.0,120.0,222.0,149.0,20.0,190.0,136.0,3.0,9.0,13.0,21.0,24.0,30.0,34.0,37.0,40.0,57.0,72.0,81.0
145.0,184.0,30.0,75.0,225.0,20.0,130.0,110.0,3.0,10.0,13.0,21.0,24.0,30.0,34.0,37.0,40.0,59.0,61.0,81.0
269.0,126.0,30.0,174.0,161.0,20.0,190.0,149.0,2.0,10.0,11.0,22.0,24.0,29.0,34.0,38.0,40.0,57.0,72.0,81.0
97.0,58.0,30.0,42.0,68.0,10.0,72.0,75.0,2.0,10.0,11.0,23.0,25.0,29.0,34.0,38.0,40.0,43.0,60.0,81.0
111.0,135.0,120.0,62.0,162.0,30.0,0.0,0.0,0.0,9.0,18.0,21.0,25.0,27.0,33.0,36.0,40.0,52.0,60.0,81.0
375.0,156.0,30.0,140.0,172.0,10.0,290.0,172.0,1.0,9.0,13.0,23.0,25.0,28.0,34.0,37.0,40.0,59.0,72.0,81.0
260.0,284.0,30.0,143.0,366.0,20.0,250.0,195.0,2.0,10.0,13.0,22.0,24.0,29.0,34.0,38.0,40.0,52.0,79.0,81.0
166.0,194.0,60.0,77.0,225.0,20.0,112.0,104.0,2.0,10.0,13.0,22.0,24.0,28.0,34.0,37.0,40.0,52.0,61.0,81.0
126.0,3780.0,60.0,96.0,6720.0,30.0,64.0,195.0,0.0,10.0,16.0,22.0,26.0,28.0,34.0,38.0,41.0,48.0,60.0,82.0
43.0,44.0,60.0,22.0,53.0,10.0,50.0,24.0,2.0,9.0,13.0,21.0,26.0,28.0,33.0,37.0,40.0,57.0,79.0,82.0
220.0,3780.0,60.0,76.0,5040.0,20.0,0.0,0.0,2.0,10.0,16.0,23.0,25.0,31.0,34.0,38.0,41.0,43.0,72.0,81.0
106.0,42.0,120.0,34.0,46.0,30.0,90.0,60.0,3.0,9.0,11.0,23.0,24.0,28.0,34.0,37.0,40.0,42.0,61.0,81.0
92.0,72.0,120.0,37.0,84.0,20.0,117.0,65.0,2.0,10.0,11.0,23.0,24.0,29.0,34.0,38.0,40.0,42.0,61.0,81.0
101.0,162.0,60.0,58.0,175.0,10.0,0.0,0.0,0.0,9.0,18.0,21.0,25.0,27.0,33.0,36.0,40.0,52.0,60.0,82.0
103.0,38.0,30.0,94.0,46.0,20.0,100.0,84.0,2.0,9.0,11.0,21.0,24.0,29.0,34.0,37.0,40.0,59.0,65.0,81.0
163.0,2340.0,60.0,83.0,3120.0,20.0,80.0,208.0,0.0,9.0,16.0,23.0,26.0,28.0,34.0,38.0,41.0,42.0,61.0,81.0
61.0,179.0,30.0,28.0,318.0,20.0,0.0,0.0,1.0,9.0,18.0,21.0,25.0,28.0,34.0,38.0,40.0,57.0,79.0,81.0
182.0,3120.0,60.0,71.0,3380.0,10.0,0.0,0.0,2.0,9.0,16.0,21.0,25.0,28.0,34.0,37.0,41.0,59.0,60.0,82.0
89.0,1850.0,60.0,34.0,2960.0,30.0,0.0,0.0,1.0,9.0,17.0,21.0,25.0,27.0,33.0,36.0,41.0,43.0,77.0,81.0
125.0,54.0,30.0,85.0,65.0,30.0,100.0,70.0,2.0,10.0,11.0,23.0,24.0,30.0,34.0,38.0,40.0,43.0,77.0,81.0
175.0,167.0,60.0,150.0,181.0,20.0,234.0,115.0,2.0,10.0,13.0,22.0,25.0,30.0,34.0,38.0,40.0,57.0,60.0,81.0
97.0,1850.0,120.0,48.0,2220.0,30.0,0.0,0.0,2.0,9.0,17.0,21.0,25.0,27.0,34.0,36.0,41.0,42.0,72.0,81.0
182.0,148.0,120.0,81.0,198.0,10.0,152.0,120.0,2.0,9.0,13.0,22.0,25.0,30.0,34.0,38.0,40.0,59.0,60.0,81.0
82.0,2340.0,120.0,34.0,3120.0,30.0,78.0,32.0,1.0,9.0,16.0,21.0,25.0,28.0,34.0,39.0,41.0,57.0,61.0,81.0
206.0,55.0,30.0,124.0,58.0,30.0,96.0,84.0,3.0,9.0,11.0,21.0,25.0,30.0,34.0,37.0,40.0,43.0,69.0,81.0
117.0,128.0,30.0,62.0,147.0,10.0,72.0,55.0,2.0,10.0,13.0,22.0,24.0,28.0,34.0,37.0,40.0,47.0,61.0,81.0
163.0,76.0,30.0,126.0,97.0,30.0,182.0,68.0,2.0,10.0,11.0,22.0,24.0,29.0,34.0,37.0,40.0,43.0,75.0,81.0
214.0,95.0,30.0,119.0,128.0,30.0,182.0,64.0,2.0,9.0,13.0,23.0,24.0,28.0,34.0,36.0,40.0,43.0,72.0,81.0
253.0,101.0,60.0,174.0,133.0,30.0,184.0,188.0,3.0,10.0,11.0,21.0,25.0,31.0,34.0,38.0,40.0,57.0,72.0,81.0
142.0,82.0,120.0,83.0,105.0,10.0,88.0,65.0,2.0,10.0,11.0,21.0,25.0,28.0,33.0,37.0,40.0,59.0,61.0,81.0
134.0,40.0,120.0,59.0,53.0,10.0,117.0,78.0,6.0,9.0,11.0,21.0,25.0,27.0,34.0,36.0,40.0,42.0,61.0,82.0
111.0,34.0,30.0,56.0,40.0,10.0,72.0,50.0,2.0,9.0,11.0,22.0,25.0,29.0,34.0,37.0,40.0,43.0,60.0,81.0
46.0,75.0,120.0,25.0,100.0,30.0,0.0,0.0,1.0,10.0,15.0,22.0,25.0,28.0,33.0,37.0,40.0,59.0,77.0,81.0
218.0,101.0,30.0,70.0,118.0,30.0,144.0,130.0,2.0,10.0,11.0,22.0,25.0,30.0,34.0,37.0,40.0,43.0,72.0,81.0
64.0,19.0,30.0,42.0,31.0,20.0,0.0,0.0,2.0,9.0,11.0,21.0,25.0,28.0,34.0,36.0,40.0,59.0,77.0,82.0
84.0,60.0,30.0,34.0,62.0,10.0,0.0,0.0,1.0,9.0,14.0,23.0,25.0,27.0,34.0,36.0,40.0,42.0,65.0,81.0
184.0,89.0,120.0,96.0,105.0,30.0,221.0,100.0,3.0,10.0,11.0,21.0,24.0,28.0,34.0,37.0,40.0,57.0,60.0,81.0
55.0,53.0,30.0,33.0,70.0,20.0,45.0,39.0,2.0,9.0,19.0,21.0,25.0,30.0,34.0,36.0,40.0,59.0,77.0,82.0
185.0,74.0,120.0,105.0,94.0,10.0,160.0,105.0,3.0,9.0,11.0,21.0,24.0,28.0,33.0,36.0,40.0,42.0,78.0,81.0
182.0,252.0,30.0,63.0,266.0,10.0,247.0,182.0,2.0,10.0,13.0,20.0,24.0,29.0,34.0,35.0,40.0,59.0,60.0,81.0
160.0,95.0,120.0,120.0,103.0,20.0,150.0,136.0,2.0,9.0,13.0,22.0,25.0,28.0,34.0,37.0,40.0,57.0,74.0,81.0
185.0,83.0,30.0,103.0,105.0,30.0,180.0,110.0,2.0,10.0,11.0,22.0,24.0,30.0,34.0,38.0,40.0,42.0,77.0,81.0
170.0,61.0,30.0,84.0,84.0,20.0,117.0,50.0,2.0,10.0,11.0,22.0,25.0,28.0,33.0,37.0,40.0,42.0,61.0,81.0
193.0,106.0,120.0,50.0,112.0,30.0,170.0,120.0,2.0,10.0,11.0,22.0,24.0,29.0,34.0,38.0,40.0,42.0,77.0,81.0
62.0,3120.0,60.0,33.0,4160.0,30.0,52.0,28.0,1.0,9.0,16.0,21.0,25.0,29.0,34.0,38.0,41.0,59.0,77.0,81.0
109.0,2340.0,60.0,62.0,4160.0,30.0,0.0,0.0,2.0,9.0,16.0,21.0,25.0,30.0,34.0,38.0,41.0,42.0,61.0,82.0
120.0,3780.0,60.0,49.0,5040.0,20.0,60.0,130.0,0.0,10.0,16.0,22.0,25.0,29.0,34.0,38.0,41.0,42.0,72.0,81.0
200.0,67.0,120.0,90.0,77.0,30.0,0.0,0.0,2.0,9.0,14.0,21.0,24.0,28.0,34.0,36.0,40.0,59.0,60.0,81.0
195.0,116.0,60.0,81.0,122.0,20.0,144.0,92.0,2.0,10.0,11.0,22.0,25.0,29.0,34.0,38.0,40.0,57.0,60.0,81.0
199.0,194.0,30.0,169.0,189.0,10.0,182.0,117.0,2.0,10.0,13.0,22.0,25.0,28.0,34.0,38.0,40.0,52.0,68.0,81.0
171.0,101.0,60.0,87.0,118.0,10.0,150.0,72.0,2.0,10.0,11.0,22.0,24.0,29.0,34.0,38.0,40.0,52.0,61.0,81.0
125.0,48.0,60.0,44.0,50.0,20.0,0.0,0.0,2.0,9.0,11.0,21.0,25.0,29.0,33.0,37.0,40.0,59.0,61.0,81.0
140.0,85.0,60.0,114.0,90.0,20.0,72.0,44.0,3.0,9.0,13.0,21.0,25.0,30.0,34.0,36.0,40.0,59.0,78.0,81.0
247.0,59.0,60.0,128.0,72.0,10.0,312.0,188.0,3.0,9.0,11.0,21.0,25.0,30.0,33.0,37.0,40.0,59.0,69.0,81.0
134.0,108.0,120.0,98.0,128.0,10.0,88.0,65.0,2.0,9.0,13.0,21.0,24.0,28.0,34.0,37.0,40.0,50.0,61.0,81.0
130.0,4200.0,30.0,67.0,5040.0,10.0,80.0,56.0,2.0,10.0,16.0,21.0,25.0,30.0,34.0,38.0,41.0,43.0,60.0,81.0
101.0,72.0,60.0,43.0,81.0,20.0,72.0,40.0,2.0,10.0,11.0,22.0,24.0,28.0,34.0,37.0,40.0,43.0,60.0,81.0
164.0,81.0,120.0,99.0,95.0,20.0,120.0,76.0,2.0,9.0,13.0,21.0,25.0,29.0,34.0,37.0,40.0,57.0,60.0,81.0
97.0,42.0,30.0,79.0,46.0,10.0,91.0,26.0,1.0,9.0,14.0,22.0,24.0,31.0,34.0,36.0,40.0,59.0,77.0,81.0
135.0,117.0,120.0,64.0,147.0,20.0,0.0,0.0,0.0,10.0,13.0,22.0,25.0,28.0,33.0,38.0,40.0,42.0,61.0,82.0
89.0,25.0,30.0,31.0,32.0,30.0,91.0,32.0,3.0,9.0,11.0,21.0,25.0,30.0,34.0,37.0,40.0,43.0,77.0,81.0
150.0,62.0,60.0,56.0,70.0,10.0,170.0,100.0,2.0,9.0,11.0,22.0,25.0,28.0,34.0,38.0,40.0,57.0,60.0,81.0
322.0,112.0,120.0,180.0,146.0,10.0,299.0,188.0,3.0,10.0,11.0,21.0,25.0,31.0,34.0,38.0,40.0,57.0,72.0,81.0
100.0,2600.0,60.0,56.0,3120.0,20.0,0.0,0.0,0.0,9.0,16.0,21.0,25.0,28.0,34.0,37.0,41.0,42.0,61.0,82.0
171.0,85.0,30.0,89.0,105.0,30.0,170.0,130.0,2.0,10.0,11.0,22.0,25.0,29.0,34.0,38.0,40.0,57.0,60.0,81.0
141.0,2340.0,60.0,66.0,3120.0,20.0,100.0,78.0,2.0,9.0,16.0,21.0,25.0,29.0,34.0,37.0,41.0,48.0,60.0,81.0
68.0,26.0,30.0,53.0,31.0,30.0,80.0,35.0,2.0,9.0,11.0,21.0,24.0,29.0,34.0,37.0,40.0,48.0,79.0,81.0
80.0,179.0,60.0,31.0,286.0,30.0,60.0,30.0,0.0,9.0,18.0,22.0,25.0,27.0,34.0,39.0,40.0,52.0,75.0,81.0
164.0,98.0,60.0,74.0,111.0,20.0,0.0,0.0,0.0,9.0,13.0,22.0,25.0,29.0,34.0,37.0,40.0,52.0,61.0,82.0
